Dry Bulb Temperature {C},Dew Point Temperature {C},Relative Humidity {%},Atmospheric Pressure {Pa},Extraterrestrial Horizontal Radiation {Wh/m2},Extraterrestrial Direct Normal Radiation {Wh/m2},Horizontal Infrared Radiation Intensity from Sky {Wh/m2},Global Horizontal Radiation {Wh/m2},Direct Normal Radiation {Wh/m2},Diffuse Horizontal Radiation {Wh/m2},Global Horizontal Illuminance {lux},Direct Normal Illuminance {lux},Diffuse Horizontal Illuminance {lux},Zenith Luminance {Cd/m2},Wind Direction {deg},Wind Speed {m/s},Total Sky Cover {.1},Opaque Sky Cover {.1},Visibility {km},Ceiling Height {m},Present Weather Observation,Present Weather Codes,Precipitable Water {mm},Aerosol Optical Depth {.001},Snow Depth {cm},Days Since Last Snow,Albedo {.01},Liquid Precipitation Depth {mm},Liquid Precipitation Quantity {hr}
1.7,-6.6,54,93700,0,0,226,0,0,0,0,0,0,0,293,1,10,10,19.2,762,9,0,150,0.067,0,88,0.17,0,1
2.3,-7.8,47,93700,0,0,226,0,0,0,0,0,0,0,23,2,10,10,19.2,1067,9,0,150,0.067,0,88,0.17,0,1
2.1,-7.8,48,93700,0,0,225,14,0,14,1653,0,1653,300,360,1,10,10,19.2,1524,9,0,150,0.067,0,88,0.17,0,1
1.8,-7.8,49,93700,10,436,224,95,78,81,17753,8167,9586,1601,338,2,10,10,32,640,9,0,150,0.067,0,88,0.17,0,1
2,-7.8,48,93800,185,1415,225,177,72,153,25764,7583,18181,3166,338,2,10,10,32,701,9,0,160,0.067,0,88,0.17,0,1
3.1,-8.4,43,93800,397,1415,227,209,8,206,25336,875,24461,4608,360,1,10,10,32,610,9,0,160,0.067,0,88,0.17,0,1
4,-7.2,44,93800,560,1415,232,244,53,217,31325,5542,25783,5180,360,3,10,10,32,610,9,0,160,0.067,0,88,0.17,0,1
4.1,-7.2,44,93800,663,1415,233,219,25,206,27086,2625,24461,4995,360,2,10,10,24,610,9,0,160,0.067,0,88,0.17,0,1
4.7,-6.6,44,93700,699,1415,236,203,6,200,24383,583,23800,4667,360,2,10,10,16,488,9,0,160,0.067,0,88,0.17,0,1
4.9,-6.1,45,93700,664,1415,238,100,0,100,11900,0,11900,2163,360,3,10,10,11.2,274,9,0,160,0.067,0,88,0.17,0,1
4.4,-5.5,48,93700,562,1415,237,33,0,33,3967,0,3967,672,338,1,10,10,6.4,213,9,0,160,0.067,0,88,0.17,0,1
3.7,-4.5,55,93600,399,1415,236,11,0,11,1322,0,1322,224,360,1,10,10,4.8,213,9,0,160,0.067,0,88,0.17,0,1
4.2,-1.8,65,93600,188,1415,243,0,0,0,0,0,0,0,45,1,10,10,2.8,122,9,0,160,0.067,0,88,0.17,0,1
4,-1.8,66,93600,11,436,243,0,0,0,0,0,0,0,360,1,10,10,0.2,30,9,0,160,0.067,0,88,0.17,0,1
3.7,-2.3,65,93600,0,0,241,0,0,0,0,0,0,0,360,2,10,10,0.2,30,9,0,160,0.067,0,88,0.17,0,1
3.5,-4,58,93700,0,0,237,0,0,0,0,0,0,0,338,2,10,10,0.6,30,9,0,160,0.067,0,88,0.17,0,1
4,-4.5,54,93700,0,0,237,0,0,0,0,0,0,0,338,3,10,10,1.2,61,9,0,160,0.067,0,88,0.17,0,1
